METERID,LON,LAT
1334834,-73.9522022065,40.7691368817
4233139,-73.9285098271,40.7582782785
4233058,-73.9231270777,40.7673984821
4233060,-73.9261295579,40.7624994821
4061144,-73.8268108855,40.7607788104
5043054,-74.1068161587,40.6347576461
1443326,-73.9813120218,40.7501540249
3103006,-73.9900204623,40.6193963223
1443447,-73.9940521635,40.7482853992
1443120,-73.9943683862,40.7543053243
1443392,-73.9937838573,40.7490813325
1443977,-73.989553694,40.7555067054
1443648,-73.9921143845,40.7440325411
1463034,-74.0069702697,40.7407734124
1442535,-73.9742565471,40.7482514769
1443674,-73.9916561754,40.7493487104
1443109,-73.9863263803,40.75242023
1443498,-73.9866756689,40.7435550022
1353006,-74.0014173039,40.7461705221
1463030,-74.0068640101,40.739799206
1443787,-73.9844860916,40.7410192256
1443233,-73.9920517119,40.750771265
1443104,-73.9883966079,40.7532924662
1323019,-74.0044822105,40.7304727661
1443626,-73.9840343274,40.7435845371
1353029,-73.9967391418,40.7529841347
4073003,-73.9161699341,40.7625614298
1443955,-73.9880180594,40.7556684524
3013573,-73.9918176347,40.6948322706
3013007,-73.9885682435,40.6882887308
3091452,-74.0240714419,40.6261777299
3091430,-74.033810449,40.6124946939
3091499,-74.0233294813,40.6275942636
4053017,-73.8429393528,40.7195320054
1243059,-73.9983022869,40.71688965
1413022,-73.9999720377,40.7379885199
3091494,-74.0247573685,40.6241043242
1443415,-73.9803192463,40.7434107308
1323042,-74.0058468702,40.7278688015
3043102,-73.9566175353,40.6485603242
1443267,-73.9797423203,40.7472330147
1443216,-73.9846569883,40.7476613535
1443599,-73.9942130346,40.7434011708
1443932,-73.9823319431,40.7541687817
1443131,-73.9911874906,40.7528521394
3043158,-73.9455113222,40.6190830275
1443441,-73.9918245115,40.7474520773
1443711,-73.9812014255,40.7421667432
1453091,-73.985002743,40.737215495
3043074,-73.9549403105,40.6399247632
3013662,-73.9788221801,40.69038169
3043061,-73.9485251925,40.6321586425
2023016,-73.9236693856,40.8177237805
1453198,-73.9927747125,40.7364987843
1443594,-73.9980648882,40.745199565
1443238,-73.9961887126,40.7525181376
1443126,-73.992875724,40.7536777262
1443049,-73.9822137761,40.7506834824
1443020,-73.9907191327,40.7551948711
1453210,-74.0004715723,40.7389724638
1433823,-73.9809688724,40.7660030006
1143023,-73.9952119835,40.7296660378
1443368,-73.9821063199,40.7449657444
1443527,-73.9926517695,40.7453749195
1443793,-73.9786363852,40.7510947739
1433161,-73.9832126095,40.7618295423
3091482,-74.0294935682,40.6175734917
1243066,-73.9990694029,40.7180165344
1443584,-73.9836158113,40.7391271582
1463036,-74.0069866323,40.7406879047
3071386,-73.999157773,40.5997116713
3071350,-73.9919528887,40.6001458037
3063125,-73.9554784844,40.5992311588
3063202,-73.9551530513,40.5948947744
3063097,-73.956868823,40.5988439087
3063060,-73.952828617,40.5991639808
3063165,-73.9447668089,40.5999592226
2293004,-73.8482916757,40.8763063646
2293029,-73.8472705081,40.8709050276
3393007,-73.9424013309,40.6664921454
3393014,-73.9420827692,40.6699473385
2043023,-73.9165423323,40.8398681117
2043019,-73.9153035922,40.839186195
2203024,-73.8658746445,40.8319085946
2203009,-73.8787860564,40.8287124517
4013117,-73.9260740245,40.7419026671
4233158,-73.9296111415,40.7671461083
4233135,-73.9244558089,40.7618399945
4233067,-73.925604481,40.7615350873
4033017,-73.8056536649,40.7023279601
3063192,-73.9424387595,40.6028488992
3063138,-73.9535453474,40.5988186558
3063055,-73.9587104933,40.598513617
3063160,-73.9457653808,40.6002357408
2293012,-73.8512997456,40.8752166657
2293061,-73.8227237657,40.8642142242
2313038,-73.8316993465,40.8471558647
2033002,-73.8922341473,40.8200401145
5053340,-74.1657171025,40.5445444883
5053348,-74.1650227535,40.5445646137
3063067,-73.9459457546,40.5999210103
2293035,-73.84401131,40.8694109929
2313048,-73.8315209962,40.8453366904
5053341,-74.1649535176,40.5438433233
4033055,-73.7946738474,40.7050774117
4033031,-73.8069039576,40.6982992105
4033012,-73.806902981,40.7021446856
4033059,-73.7916659416,40.7065192156
4013017,-73.9295493888,40.744652887
4013061,-73.918019335,40.7420766918
5033003,-74.076930433,40.6274926652
3079215,-73.9970613066,40.6035396916
1323015,-74.0050582399,40.7298777421
1323062,-74.0063511709,40.7339717839
1463021,-74.0078897431,40.740494177
1443162,-73.978225419,40.7473935692
1443044,-73.9843256065,40.7516936794
1443098,-73.9922542687,40.7557281665
1443358,-73.9827000805,40.746026097
1443411,-73.9843374562,40.7451010104
1443466,-73.9909213592,40.7461585493
1443652,-73.9912666789,40.7451997986
1443670,-73.9887535695,40.744741103
1443784,-73.9867047883,40.7544762482
1433898,-73.9659224326,40.7605011461
1443214,-73.9840902872,40.7474238266
1443592,-73.9967174475,40.7446322883
1433210,-73.9758058547,40.7595347099
1443500,-73.9871356806,40.7438643192
1443765,-73.9980267399,40.7457321384
1323044,-74.0035817961,40.7277493201
1443133,-73.9907170814,40.7526560669
3013571,-73.991686206,40.6970434437
3013552,-73.9939990984,40.6939917611
3043070,-73.9515554701,40.6366464558
3043106,-73.9587620568,40.6509792363
3043177,-73.9457432137,40.6212860519
3051324,-73.9618771966,40.6055806503
3091508,-74.0211102845,40.6330192527
3091425,-74.0308816312,40.6168883766
3013627,-73.9867108533,40.6899319186
3043026,-73.9583221602,40.6483513069
3043124,-73.9604555544,40.6592417934
1433437,-73.9779774815,40.7556440048
2023002,-73.9236691567,40.8175213684
5023061,-74.0768093047,40.6407395503
3013609,-73.9850042574,40.6884937476
4151978,-73.9341043533,40.7414947294
2131696,-73.8887814034,40.8562706425
4152092,-73.9413514512,40.7514012491
1443024,-73.9939108786,40.7556168077
1443284,-73.9936782655,40.7567997348
2313047,-73.8308444892,40.8484357521
3063181,-73.9426349171,40.6075175465
3013001,-73.9969859157,40.6908771974
1119835,-73.992815536,40.709727914
1143024,-74.0017469176,40.7343980239
1143035,-74.0036011313,40.7313513808
1443299,-73.9871250714,40.7556246698
1443369,-73.9831361894,40.7454056856
1323037,-74.0024837814,40.7218141582
1433162,-73.9831412522,40.761427172
1433174,-73.9749824337,40.7551007515
1433018,-73.9796418597,40.7578748108
1443307,-73.9889488282,40.7531287429
1433097,-73.9819843441,40.7614235039
1443045,-73.9838659105,40.7513831693
5053003,-74.0873317984,40.584314889
3071385,-74.000580731,40.6006905262
3063191,-73.9429841654,40.6049858462
3063054,-73.9595979421,40.5984194829
3063159,-73.9466038616,40.6001878213
3063076,-73.9339645347,40.6002602944
3071395,-74.0059888004,40.6038533744
4103012,-73.8381205215,40.5811610414
3013036,-73.9954243859,40.6906213335
1463037,-74.0062628176,40.7403819108
1443528,-73.9924889728,40.745202625
1443794,-73.9780682487,40.7518773076
1443967,-73.9775554301,40.7512595753
1443994,-73.9833692459,40.752902838
4053013,-73.8455992833,40.720907948
4093006,-73.8972240463,40.7005248856
3131533,-73.9845933899,40.6111811687
3043176,-73.9456119786,40.6205807644
3103064,-73.9782785116,40.630144029
3403040,-73.9473823515,40.680214424
2293011,-73.8503641296,40.8757711427
2293060,-73.8221098498,40.8642790503
2313037,-73.8317028388,40.8463192309
2313032,-73.8330888108,40.8462831817
1433007,-73.9771990947,40.7626783132
3013531,-73.9918112784,40.6954528621
3063056,-73.9576677659,40.5986334709
3063063,-73.9498181542,40.5994949588
3063110,-73.9590878008,40.5983147149
3063161,-73.9456555218,40.6002322759
3103045,-73.9910806497,40.617834986
3063131,-73.9545303943,40.5987954174
5023027,-74.0756792171,40.6412031014
5053346,-74.1634337008,40.5423528094
4233024,-73.9288031755,40.7563176017
4233136,-73.9247323733,40.7613448069
1353023,-74.0024565472,40.7453337405
1442551,-73.9817920546,40.7514352497
1443287,-73.9958380656,40.7538291418
1443526,-73.9930815569,40.7455551564
1443297,-73.9876234819,40.7509210462
1443516,-73.9935438163,40.7464564543
1443739,-73.9821752032,40.7424710199
1443947,-73.9849727744,40.7542804364
1443992,-73.9845915197,40.7534176082
1433205,-73.9743688665,40.7582091243
3051349,-73.9621551354,40.6081847007
3051325,-73.9627884784,40.6068020349
3033043,-73.906848031,40.6692598444
